lotus-ai-1  | INFO  [alembic.runtime.migration] Context impl SQLiteImpl.
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0017_seed_prompt_rollout_candidates -> 0018_add_audit_prompt_selection_payload, add audit prompt selection payload
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0017_seed_prompt_rollout_candidates -> 0018_add_audit_prompt_selection_payload, add audit prompt selection payload
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0018_add_audit_prompt_selection_payload -> 0019_add_caller_policy_tables, add caller policy tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0018_add_audit_prompt_selection_payload -> 0019_add_caller_policy_tables, add caller policy tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0019_add_caller_policy_tables -> 0020_add_audit_authorization_payload, add audit authorization payload
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0019_add_caller_policy_tables -> 0020_add_audit_authorization_payload, add audit authorization payload
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0020_add_audit_authorization_payload -> 0021_add_control_event_authorization_payloads, add control event authorization payloads
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0020_add_audit_authorization_payload -> 0021_add_control_event_authorization_payloads, add control event authorization payloads
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0021_add_control_event_authorization_payloads -> 0022_add_artifact_metadata_tables, add artifact metadata tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0021_add_control_event_authorization_payloads -> 0022_add_artifact_metadata_tables, add artifact metadata tables
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0022_add_artifact_metadata_tables -> 0023_add_runtime_artifact_refs, add runtime artifact refs
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0022_add_artifact_metadata_tables -> 0023_add_runtime_artifact_refs, add runtime artifact refs
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0023_add_runtime_artifact_refs -> 0024_seed_lotus_performance_caller_policy, seed lotus-performance caller policy
lotus-ai-1  | INFO  [alembic.runtime.migration] Running upgrade 0023_add_runtime_artifact_refs -> 0024_seed_lotus_performance_caller_policy, seed lotus-performance caller policy
lotus-ai-1  | INFO:     Started server process [8]
lotus-ai-1  | INFO:     Waiting for application startup.
lotus-ai-1  | INFO:     Application startup complete.
lotus-ai-1  | INFO:     Uvicorn running on http://0.0.0.0:8140 (Press CTRL+C to quit)
lotus-ai-1  | INFO:     127.0.0.1:40270 - "GET /health/ready HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /health/ready HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /health HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /health/ready HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET / HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /metadata HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/runtime-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/capabilities HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/tasks/runtime-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/access-control/runtime-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/access-control/caller-policies HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/providers HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/retrieval/sources HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/safety/policy HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/prompts/runtime-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/async/runtime-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/artifacts/runtime-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/observability/runtime-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/evals/runtime-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/use-cases/first-production-use-case HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/use-cases/first-production-use-case/readiness HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/use-cases/first-production-use-case/runbook-readiness HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/use-cases/first-production-use-case/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/use-cases/onboarding-template HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "POST /ai/tasks/execute HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /ai/audit/air_e283a8184ed04ea0911f85e72323438d HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /ai/audit?caller_app=lotus-performance&limit=20 HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/tasks/execution-summary?limit=20 HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/tasks/evidence-summary?limit=20 HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/observability/incident-summary HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/observability/breakdowns?limit=20 HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/access-control/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/artifacts/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/observability/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/providers/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/retrieval/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/safety/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/prompts/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/async/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "POST /platform/evals/runs/submit HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/evals/runs/evalrun_248dc7e0feac HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/evals/runs/evalrun_248dc7e0feac HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     127.0.0.1:33654 - "GET /health/ready HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/evals/runs/evalrun_248dc7e0feac HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/evals/runs/evalrun_248dc7e0feac HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/evals/runs/evalrun_248dc7e0feac HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/use-cases/first-production-use-case/readiness HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/use-cases/first-production-use-case/governance-status HTTP/1.1" 200 OK
lotus-ai-1  | INFO:     172.19.0.1:51958 - "GET /platform/evals/runs HTTP/1.1" 200 OK
